_id,name,description,common_complications
527,Chest CT (CAT) scan with dye,"A computer enhanced x-ray of the chest that provides detailed pictures of the lungs and other structures in the chest. The intravenous dye (contrast) is used to detect blood clots (pulmonary embolus), after traumatic injuries to identify blood vessel damage, and to better define other problems in the chest. High resolution CT scans can see the blood vessels of the heart (coronary arteries) and estimate the amount of blockage of these arteries.","CT scans require radiation. Multiple exposures to radiation increase the risk of cancer later in life. At times intravenous contrast is given with a CT scan. The contrast can injure the kidneys, especially if the person has underlying kidney disease. Some patients can be allergic to the contrast resulting in a rash to life-threatening swelling and low blood pressure."
528,Chest CT (CAT) scan without dye,"A computer enhanced x-ray of the chest that provides detailed pictures of the lungs and other structures in the chest. When used without intravenous dye (contrast), the test is usually done to identify cancers, infections, and abnormal fluid collections around the lungs (pleural effusions) or around the heart (pericardial effusions).",CT scans require radiation. Multiple exposures to radiation increase the risk of cancer later in life.
529,Abdominal pelvic CT (CAT) scan without intravenous dye,"A computer enhanced x-ray of the abdomen and pelvis that provides detailed pictures of the internal organs and other structures in and around the abdomen and pelvis. This test helps detect abnormalities of the liver, spleen, pancreas, kidneys, uterus, ovaries, bladder, stomach and intestines. Usually, oral contrast is given before the test. But intravenous dye is not given with this test.",CT scans require radiation. Multiple exposures to radiation increase the risk of cancer later in life.
530,Abdominal pelvic CT (CAT) scan with dye,"A computer enhanced x-ray of the abdomen and pelvis that provides detailed pictures of the internal organs and other structures in and around the abdomen and pelvis. This test can identify abnormalities of the appendix, liver, spleen, pancreas, kidneys, uterus, ovaries, bladder, stomach and intestines. Intravenous dye (contrast) is used to obtain better images of the blood vessels and internal organs. ","CT scans require radiation. Multiple exposures to radiation increase the risk of cancer later in life. At times intravenous contrast is given with a CT scan. The contrast can injure the kidneys, especially if the person has underlying kidney disease. Some patients can be allergic to the contrast resulting in a rash to life-threatening swelling and low blood pressure. "
531,Facial CT (CAT) scan without dye,"A computer enhanced x-ray that provides detailed images of the face, jaw, and facial bones. This procedure is performed to identify fractures, infections, cancers, and congenital abnormalities. ",CT scans require radiation. Multiple exposures to radiation increase the risk of cancer later in life.
532,Brain MRI (magnetic resonance imaging) with and without dye,"MRI is magnetic resonance imaging, a special imaging test that does not use x-rays. This test provides very detailed images of the brain, structures of the face, and sinuses. In general a MRI is better at determining acute strokes, infections and cancers than a CT scan. An intravenous dye called gadolinium is sometimes used to obtain better images.",Gadolinium has been associated with a serious skin and connective tissue disease called nephrogenic systemic fibrosis (NSF). Patients with chronic kidney disease are at increased risk of developing NSF after gadolinium. More information can be found at http://www.fda.gov/Drugs/DrugSafety/DrugSafetyNewsletter/ucm142889.htm. 
533,Neck MRI without dye,"MRI is magnetic resonance imaging, a special imaging test that does not use x-rays. This test provides very detailed images of the neck muscles, ligaments, nerves, bones, and soft tissue. This test is used to identify traumatic injuries, infections, and cancer.",None
534,Back MRI without dye,"MRI is magnetic resonance imaging, a special imaging test that does not use x-rays. This test provides very detailed images of the back and spinal cord. This procedure can help identify arthritis, cancers, infections, fractures, injured nerves, a damaged spinal cord or a herniated disc.",None
535,Lower extremity joint MRI without dye (leg MRI),"MRI is magnetic resonance imaging, a special imaging test that does not use x-rays. This test provides very detailed images of the joint and surrounding muscles and bones. This procedure can help identify arthritis, traumatic injuries, ligament tears, tendon ruptures, meniscus injuries, infections and fractures.",None
536,Breast ultrasound,"A diagnostic imaging test. The ultrasound device is pressed against the breast, and sound waves from the device bounce off tissues and create echoes. The pictures can determine if a breast mass is solid or cystic. Simple cysts are almost always benign. A solid mass may be benign or malignant. ",None.
537,Pelvic ultrasound,"A diagnostic imaging test. The ultrasound device is pressed against the lower abdomen, and sound waves from the device bounce off tissues and create echoes. Pelvic ultrasounds are routinely performed during pregnancy.  Pelvic ultrasound is also used to get pictures of pelvic organs, including the bladder, the uterus and ovaries in a woman, and the prostate in a man. This test can help identify cysts, free fluid in the pelvis, changes consistent with infection, ectopic pregnancy and abnormal growths.",None.
538,Rubella titer (German measles blood test),A test that looks for antibodies against the rubella (German measles) virus. This test is used to identify if someone has immunity against rubella either from a vaccine or a prior infection. The test can also help determine if someone is currently infected or has recently been infected with rubella.,None.
539,"Diphtheria, tetanus and pertussis vaccine (DTaP, Tdap and Td)","A vaccine that protects against diphtheria, tetanus and pertussis. There are two types of the vaccines that are used: DTaP and Tdap. Children should get DTaP vaccine at 2 months, 4 months, 6 months, 15-18 months, and 4-6 years. DTaP is given to children less than 7 years of age and Tdap is used for people older than age 11. The CDC recommends a Tdap booster at age 11 or 12. Also a Tdap booster should be given during every pregnancy, preferably in the third trimester. Adults will also need a Td (tetanus and diphtheria) booster every ten years after their Tdap vaccine. The following people should not receive the vaccine: people with a history of a severe allergic reaction after the vaccine; and those who have experienced a coma or multiple seizures within 7 days of receiving the vaccine. Any patient with a history of seizures, other nervous system diseases, a history of Guillain Barre, or are ill at the time of the vaccination should talk to their healthcare provider before receiving this vaccine.","The CDC believes becoming infected and developing diphtheria, tetanus or pertussis poses a much greater risk to people compared to the risk of a side effect from the vaccine. Serious reactions are rare. For more information see http://www.cdc.gov/vaccines/hcp/vis/vis-statements/dtap.html 
"
540,"Measles, mumps, rubella vaccine (MMR)","A vaccine that protects against mumps, measles and rubella. Children should receive this vaccine between 12-15 months and at 4-6 years of age. Adults should get the vaccine if they were born after 1956 and if they are not sure if they have been vaccinated or if they only received one vaccine before entering school. The MMR vaccine may be given at the same time as other vaccines. The following patients should not receive the vaccine: those with a history of a severe allergic reaction to the vaccine; those with a severe allergic reaction to gelatin or the antibiotic neomycin; those with HIV or any other disease that depresses the immune system; those receiving medications that depress the immune system including 2 weeks or more of high dose steroids; and those with cancer or being treated for cancer. The patients with the following should talk to their healthcare provider before receiving the vaccine: a history or family history of seizures; a family history of immune system diseases; a history of diseases of the blood including a low platelet count; recent history of a blood transfusion; or those who might be pregnant.
","The CDC believes becoming infected and developing mumps, measles or rubella poses a much greater risk to people compared to the risk of a side effect from the vaccine. Serious complications are rare. There is no association between MMR and autism.
"
541,Breast biopsy (breast tissue removal),A breast biopsy involves removing some breast tissue either through an incision or by using a needle. This procedure is performed to diagnose the cause of a breast mass or other breast abnormality. ,Pain and scar formation. There is a small risk of infection. Rarely surrounding nerves or blood vessels can be damaged.
542,Inguinal hernia repair (groin hernia surgery),A surgical procedure to repair a defect in the abdominal wall surrounding the inguinal canal. People with this type of hernia have intestines or other abdominal contents that push into and through the inguinal canal. This is the most common type of hernia in men. The repair can often be done with a laparoscope.,"Any surgery can result in infection, pain, and the development of blood clots in the legs or lungs after surgery. Patients can infrequently have bad reactions to anesthesia."
543,Laparoscopic vaginal hysterectomy (minimally invasive uterus removal),Surgical removal of the uterus through the vagina with laparoscopic assistance. A laparoscope is a special tube with a camera that is inserted into the abdomen through a small incision in the abdomen.,"Injury to intestines, ovaries, bladder, or pelvic vessels. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to anesthesia. "
544,Uterine fibroid removal (surgical removal of uterine growths),"Surgical removal of fibroids in the uterus. Depending on the size of the fibroid(s), the procedure is performed with a laparoscope using small incisions or through a larger incision in the abdomen. Fibroids are noncancerous overgrowths of muscular and fibrous tissue of the uterus.","Injury to intestines, ovaries, bladder, or pelvic vessels. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to anesthesia."
545,Tympanometry (ear drum testing),Measures how well the eardrum (tympanic membrane) moves. A tool is inserted into the ear that delivers a puff of air to measure the eardrum movement. Fluid behind the eardrum can prevent the eardrum from moving normally. An infection (otitis media) or a malfunctioning eustachian tube can cause abnormal fluid build-up. A hole in the eardrum can also cause abnormal movement of the eardrum.,Very rarely the eardrum can be damaged.
546,Knee arthroscopy (camera knee joint examination),"A tube with a camera is inserted into the knee joint to identify any damage to the bone, cartilage, meniscus, ligaments or joint capsule. Many times the repair of the damaged tissue can be performed at the same time. This procedure can be done under general anesthesia or regional anesthesia. ","Complications include injury to the joint, ligaments, cartilage, nerves or blood vessels. All surgery comes with the risk of infection and blood clots. Patients can infrequently have bad reactions to anesthesia."
547,"Hep lock (saline lock, IV catheter)",An attachment to an intravenous (IV) catheter that contains saline or a blood thinning agent called heparin. It prevents the IV catheter from clotting when its not being used.,Pain from the needle or catheter that remains in place. Infection or the development of a blood clot in the vein occurs very rarely.
548,Lumbar MRI without dye (lower back MRI),"MRI is magnetic resonance imaging, a special imaging test that does not use x-rays. A MRI of the lower back can identify ligaments, muscles, nerves, discs, bones, and the spinal cord. It is the best test to detect arthritis, herniated discs, spinal infections, spinal cord damage, nerve injuries, and cancers of the back and spinal cord. ",None. 
549,Cervical spine MRI without dye (neck MRI),"MRI is magnetic resonance imaging, a special imaging test that does not use x-rays. The bones of the neck make up the cervical spine. A MRI of the cervical spine can identify ligaments, muscles, nerves, discs, bones, and the spinal cord. It is the best test to detect arthritis, herniated discs, spinal infections, spinal cord damage, nerve injuries, and cancers of the spinal cord. ",None.
550,Thoracic spine MRI without dye (upper back MRI),"MRI is magnetic resonance imaging, a special imaging test that does not use x-rays. The bones of the middle back make up the thoracic spine. A MRI of the thoracic spine can identify ligaments, muscles, nerves, discs, bones, and the spinal cord. It is the best test to detect arthritis, herniated discs, spinal infections, spinal cord damage, nerve injuries, and cancers of the spinal cord. ",None. 
551,Lumbar MRI with dye (lower back MRI),"MRI is magnetic resonance imaging, a special imaging test that does not use x-rays. A MRI of the lower back can identify ligaments, muscles, nerves, discs, bones, and the spinal cord. It is the best test to detect arthritis, herniated discs, spinal infections, spinal cord damage, nerve injuries, and cancers of the back and spinal cord. A dye named gadolinium is used to provide more detailed pictures. This can help detect the difference between inflammation, traumatic injury or cancer. ",Gadolinium has been associated with a serious skin and connective tissue disease called nephrogenic systemic fibrosis (NSF). It appears patients with chronic kidney disease are at increased risk of developing NSF after gadolinium. More information can be found at http://www.fda.gov/Drugs/DrugSafety/DrugSafetyNewsletter/ucm142889.htm
552,Cervical spine MRI with dye (neck MRI),"MRI is magnetic resonance imaging, a special imaging test that does not use x-rays. The bones of the neck make up the cervical spine. A MRI of the cervical spine can identify ligaments, muscles, nerves, discs, bones, and the spinal cord. It is the best test to detect arthritis, herniated discs, spinal infections, spinal cord damage, nerve injuries, and cancers of the spinal cord. A dye named gadolinium is used to provide more detailed pictures. This can help detect the difference between inflammation, traumatic injury or cancer.",Gadolinium has been associated with a serious skin and connective tissue disease called nephrogenic systemic fibrosis (NSF). It appears patients with chronic kidney disease are at increased risk of developing NSF after gadolinium. More information can be found at http://www.fda.gov/Drugs/DrugSafety/DrugSafetyNewsletter/ucm142889.htm. 
553,Thoracic spine MRI with dye (upper back MRI),"MRI is magnetic resonance imaging, a special imaging test that does not use x-rays. The bones of the middle back make up the thoracic spine. A MRI of the thoracic spine can identify ligaments, muscles, nerves, discs, bones, and the spinal cord. It is the best test to detect arthritis, herniated discs, spinal infections, spinal cord damage, nerve injuries, and cancers of the back and spinal cord. A dye named gadolinium is used to provide more detailed pictures. This can help detect the difference between inflammation, traumatic injury or cancer.",Gadolinium has been associated with a serious skin and connective tissue disease called nephrogenic systemic fibrosis (NSF). It appears patients with chronic kidney disease are at increased risk of developing NSF after gadolinium. More information can be found at http://www.fda.gov/Drugs/DrugSafety/DrugSafetyNewsletter/ucm1428
554,Lumbar CT scan without dye (lower back CAT scan),"A test using computer enhanced x-rays that provides detailed images of the bones (lumbar spine) and spinal cord in the lower back. This test can help diagnose fractures, infections, arthritis, cancers, herniated discs, and lumbar spinal stenosis. ",CT scans require radiation. Multiple exposures to radiation increase the risk of cancer later in life.
555,Lumbar CT scan with dye (lower back CAT scan),"A test using computer enhanced x-rays that provides detailed images of the bones (lumbar spine) and spinal cord in the lower back.  Dye (contrast) is given in the vein to provide better images of the blood vessels and other structures. This test can identify fractures, infections, arthritis, cancers, herniated discs, spinal stenosis, spinal cord injuries, and nerve damage of the lower back.","CT scans require radiation. Multiple exposures to radiation increase the risk of cancer later in life. The intravenous contrast dye can injure the kidneys, especially if the person has underlying kidney disease. Some patients can be allergic to the contrast resulting in a rash to life-threatening swelling and low blood pressure."
556,Cervical spine CT without dye (neck CAT scan),"A test using computer enhanced x-rays that provides detailed images of the bones (cervical spine) and spinal cord in the neck.  This test can help diagnose fractures, infections, arthritis, cancers, herniated discs, and cervical spinal stenosis.",CT scans require radiation. Multiple exposures to radiation increase the risk of cancer later in life.
557,Cervical spine CT with dye (neck CAT scan),"A test using computer enhanced x-rays that provides detailed images of the bones (cervical spine) and spinal cord. Dye (contrast) is given in the vein to provide better images of the blood vessels and other structures. This test can identify fractures, infections, arthritis, cancers, herniated discs, spinal stenosis, spinal cord injuries, and nerve damage of the neck.","CT scans require radiation. Multiple exposures to radiation increase the risk of cancer later in life. The intravenous contrast can injure the kidneys, especially if the person has underlying kidney disease. Some patients can be allergic to the contrast resulting in a rash to life-threatening swelling and low blood pressure."
558,Thoracic spine CT scan without dye (upper back CAT),"A test using computer enhanced x-rays that provides detailed images of the bones (thoracic spine) and spinal cord in the middle back. This test can help diagnose fractures, infections, arthritis, cancers, and herniated discs.",CT scans require radiation. Multiple exposures to radiation increase the risk of cancer later in life.
559,Thoracic spine CT scan with dye (upper back CAT),"A test using computer enhanced x-rays that provides detailed images of the bones (thoracic spine) and spinal cord in the middle back. Dye (contrast) is given in the vein to provide better images of the blood vessels and other structures. This test can identify fractures, infections, arthritis, cancers, herniated discs, spinal cord injuries, and nerve damage of the middle back.","CT scans require radiation. Multiple exposures to radiation increase the risk of cancer later in life. The intravenous contrast dye can injure the kidneys, especially if the person has underlying kidney disease. Some patients can be allergic to the contrast resulting in a rash to life-threatening swelling and low blood pressure."
560,Brain MRI with dye,"MRI is magnetic resonance imaging, a special imaging test that does not use x-rays. This test provides very detailed images of the brain and surrounding structures. In general a MRI is better than a CT scan at determining acute strokes, infections and tumors. An intravenous dye called gadolinium is used to obtain better images.","Gadolinium has been associated with a serious skin and connective tissue disease called nephrogenic systemic fibrosis (NSF).  Patients with chronic kidney disease are at increased risk of developing NSF after gadolinium. More information can be found at http://www.fda.gov/Drugs/DrugSafety/DrugSafetyNewsletter/ucm142889.
"
561,Brain MRI without dye,"MRI is magnetic resonance imaging, a special imaging test that does not use x-rays. This test provides very detailed images of the brain and surrounding structures. In general a MRI is better at determining acute strokes, infections and tumors than a CT scan.",None
562,Chest MRI without dye,"MRI is magnetic resonance imaging, a special imaging test that does not use x-rays. It provides very detailed images of the chest, heart, lungs, esophagus and mediastinum. ",None.
563,Chest MRI with dye,"MRI is magnetic resonance imaging, a special imaging test that does not use x-rays. It provides very detailed images of the chest, heart, lungs, esophagus and mediastinum. An intravenous dye called gadolinium is used to obtain better images. Chest MRI with dye is usually ordered to look for clots, tears or other abnormalities in blood vessels.","Gadolinium has been associated with a serious skin and connective tissue disease called nephrogenic systemic fibrosis (NSF). It appears patients with chronic kidney disease are at increased risk of developing NSF after gadolinium. More information can be found at http://www.fda.gov/Drugs/DrugSafety/DrugSafetyNewsletter/ucm142889.
"
564,Brain CTA (CT angiogram),A computer enhanced x-ray that enables a doctor to see abnormalities of the brain and blood vessels of the brain. Intravenous dye (contrast) is given when detailed pictures of the arteries in the neck and inside the brain are needed to determine diagnosis and treatment of problems such as aneurysms and arteriovenous malformations (AVMs). ,"CT scans require radiation. Multiple exposures to radiation increase the risk of cancer later in life. The intravenous contrast can injure the kidneys, especially if the person has underlying kidney disease. Some patients can be allergic to the contrast resulting in a rash to life-threatening swelling and low blood pressure."
565,Brain CT (CAT) scan without dye,"A computer enhanced x-ray that enables a doctor to see abnormalities of the brain. A head CT scan is an excellent test to look for evidence of bleeding in or around the brain. It can be done quickly, which is important when a person has symptoms of an acute stroke (brain attack). ",CT scans require radiation. Multiple exposures to radiation increase the risk of cancer later in life.
566,Brain CT (CAT) scan with dye,A computer enhanced x-ray that enables a doctor to see abnormalities of the brain. Intravenous dye (contrast) is given to provide detailed pictures of blood vessels. ,"CT scans require radiation. Multiple exposures to radiation increase the risk of cancer later in life. The intravenous contrast dye can injure the kidneys, especially if the person has underlying kidney disease. Some patients can be allergic to the contrast resulting in a rash to life-threatening swelling and low blood pressure."
567,Neck CTA (CT image of neck arteries),"A computer enhanced x-ray that enables a doctor to see abnormalities of blood vessels of the neck. Intravenous dye (contrast) is given to provide detailed pictures of blood vessels. This test is most often used to detect blocked arteries causing strokes, damaged neck arteries or veins, aneurysms, or blood clots. ","CT scans require radiation. Multiple exposures to radiation increase the risk of cancer later in life. The intravenous contrast dye can injure the kidneys, especially if the person has underlying kidney disease. Some patients can be allergic to the contrast resulting in a rash to life-threatening swelling and low blood pressure."
568,Lower extremity joint MRI with dye (leg MRI),"MRI is magnetic resonance imaging, a special imaging test that does not use x-rays. This test provides very detailed images of the joint and surrounding muscles and bones. This test can help identify arthritis, traumatic injuries, ligament tears, tendon ruptures, meniscus injuries, infections and fractures. An intravenous dye called gadolinium is used to obtain better images.","Gadolinium has been associated with a serious skin and connective tissue disease called nephrogenic systemic fibrosis (NSF). It appears patients with chronic kidney disease are at increased risk of developing NSF after gadolinium. More information can be found at http://www.fda.gov/Drugs/DrugSafety/DrugSafetyNewsletter/ucm142889.
"
569,Upper extremity joint MRI with dye (arm MRI),"MRI is magnetic resonance imaging, a special imaging test that does not use x-rays. This test provides very detailed images of the joint and surrounding muscles and bones. This test can help identify arthritis, traumatic injuries, ligament tears, tendon ruptures, infections and fractures. An intravenous dye called gadolinium is used to obtain better images.","Gadolinium has been associated with a serious skin and connective tissue disease called nephrogenic systemic fibrosis (NSF). It appears patients with chronic kidney disease are at increased risk of developing NSF after gadolinium. More information can be found at http://www.fda.gov/Drugs/DrugSafety/DrugSafetyNewsletter/ucm142889.
"
570,Upper extremity joint MRI without dye (arm MRI),"MRI is magnetic resonance imaging, a special imaging test that does not use x-rays. This test provides very detailed images of the joint and surrounding muscles and bones. This test can help identify arthritis, traumatic injuries, ligament tears, tendon ruptures, infections and fractures.",None.
571,Upper extremity CT scan without dye (arm CAT scan),"A test using computer enhanced x-rays that provides detailed images of the bones, tendons, muscles, and joints of the arm. ",CT scans require radiation. Multiple exposures to radiation increase the risk of cancer later in life.
572,Upper extremity CT scan with dye (arm CAT scan),"A test using special x-rays that provides detailed images of the blood vessels, bones, tendons, muscles, and joints of the arm. Dye (contrast) is given in the vein when information regarding blood supply or abnormalities of blood vessels is especially important.","CT scans require radiation. Multiple exposures to radiation increase the risk of cancer later in life. The intravenous contrast can injure the kidneys, especially if the person has underlying kidney disease. Some patients can be allergic to the contrast resulting in a rash to life-threatening swelling and low blood pressure."
573,Lower extremity CT scan without dye (leg CAT scan),"A test using computer enhanced x-rays that provides detailed images of the bones, tendons, muscles, and joints of the leg. ",CT scans require radiation. Multiple exposures to radiation increase the risk of cancer later in life.
574,Lower extremity CT scan with dye (leg CAT scan),"A test using computer enhanced x-rays that provides detailed images of the blood vessels, bones, tendons, muscles, and joints of the leg. Dye (contrast) is given in the vein when information regarding blood supply or abnormalities of blood vessels is especially important.","CT scans require radiation. Multiple exposures to radiation increase the risk of cancer later in life. The intravenous contrast can injure the kidneys, especially if the person has underlying kidney disease. Some patients can be allergic to the contrast resulting in a rash to life-threatening swelling and low blood pressure."
575,Triangular fibrocartilage complex repair (wrist cartilage surgical repair),"A surgical procedure to repair a damaged triangular fibrocartilage complex (TFCC). The TFCC is cartilage that acts as a cushion and helps provide support to the wrist where it connects to the forearm bones. The surgeon can do an open or arthroscopic repair. The open repair requires a bigger incision. In the arthroscopic approach, the surgeon can makes a small incision to insert an instrument with a camera to visualize and repair the damage. ","Complications include injury to the joint, ligaments, cartilage, nerves or blood vessels, and infection. Patients can infrequently have an adverse reaction to anesthesia. "
576,Cervical facet joint injection (neck joint injection for pain),A procedure that is used to treat neck pain caused by an irritated nerve near a facet joint in the neck. A needle is inserted near the irritated nerve causing the pain. A local anesthetic and a corticosteroid are injected into the area. The anesthetic usually gives some immediate relief and the corticosteroid may diminish pain for months. ,"Complications include bleeding, infection, allergic reaction, headache, and nerve damage. Nerve damage can result in increased pain, numbness and/or arm weakness."
577,Facet joint injection (spinal injection for pain),A procedure that is used to treat neck or back pain being caused by an irritated nerve near a facet joint of the neck or back. A needle is inserted near the irritated nerve causing the pain. A local anesthetic and a corticosteroid are injected into the area. The anesthetic usually gives some immediate relief and the corticosteroid may diminish pain for months. ,"Complications include bleeding, infection, allergic reaction, headache, and nerve damage. Nerve damage can result in increased pain, numbness and/or weakness of an arm or leg."
578,Thoracic facet joint injection (upper back injection for pain),A procedure that is used to treat mid back pain being caused by an irritated nerve near a facet joint of the mid back. A needle is inserted near the irritated nerve causing the pain. A local anesthetic and a corticosteroid are injected into the area. The anesthetic usually gives some immediate relief and the corticosteroid may diminish pain for months. ,"Complications include bleeding, infection, allergic reaction, headache, and nerve damage. Nerve damage can result in increased pain or numbness."
579,"Intrauterine device (IUD, birth control device )","An Intrauterine device (IUD) is a form of birth control used by women. Either a copper containing device or a hormone containing device is inserted in the uterus to prevent pregnancy. This procedure is 99.2 to 99.9% effective in preventing pregnancy. IUDs do not protect against sexually transmitted diseases, including HIV. ","Complications include cramping, bleeding, and pain. Very rarely the IUD pokes a hole in the uterus during placement. If a patient becomes pregnant with an IUD there is an increased risk of having a miscarriage or an ectopic pregnancy. "
580,Arthrodesis (joint fusion),Arthrodesis is also called joint fusion. Joint fusion is surgery that decreases the movement of the joint. It can be done on any joint in the body and is usually performed to improve stability and decrease pain. ,"Complications include bleeding, infection, blood clots and reactions to anesthesia. Other complications are dependent on the joint being fused. "
581,Flu (influenza) vaccine,A vaccine designed to protect against the flu. The flu is caused by the influenza virus and each year experts predict which type of flu virus will be most common. Since the virus may change from one year to the next a new vaccine is needed every fall. The vaccine can protect a patient from getting sick or it can make the illness milder if a person is infected with a related but different influenza strain. The Center for Disease Control (CDC) recommends everyone 6 months and older to get the flu vaccine each year and this should occur before December.,"The risk of a vaccine causing serious harm or death is extremely rare. The following people should not receive the vaccine: severe allergy to chicken eggs, previous severe reaction to the vaccine, children younger than 6 months, patients with a moderate to severe illness with a fever, and patients with a history of Guillain-Barre syndrome. For more information see http://www.cdc.gov/vaccines"
582,HPV (human papiloma virus) vaccine,"A vaccine designed to protect against contracting HPV, which can help to prevent cervical cancer. There are different types of HPV vaccines available. The vaccine is recommended for girls and boys as young as 11 or 12 years of age, usually given as a 3-dose series. The vaccine is also recommended for females 13-26 and males 13-21 who did not receive all 3 doses when they were younger.","These vaccines were not associated with any serious reactions in controlled studies. Less severe reactions that may occur are pain, redness, fever, or other allergic reactions. The following people should not get the vaccine: anyone having a severe reaction to the vaccine in the past, anyone who has had a severe reaction to any vaccine, and people who are significantly sick at the time of the vaccine (it is better to wait until the patient is well). For more information see http://www.cdc.gov/vaccines
"
583,Hepatitis A vaccine,"A vaccine designed to protect against the hepatitis A virus. The vaccine is recommended for the following people: all children 12-23 months of age, anyone older than 1 year traveling or living in countries with a high prevalence of hepatitis A (Mexico, Central America, South America, Asia excluding Japan, Africa, Eastern Europe), ages 2-18 years who live in areas of the U.S. with high incidence of the infection, men who have sex with men, intravenous drug users, patients with chronic liver disease, patients receiving clotting factor medications, and family members adopting a child from a region where the disease is common. The vaccine is proven to protect against Hepatitis A virus for at least 10 years. The vaccine is given in 2 divided doses. The initial dose should be followed up with a booster 6-12 months later. ","The risk of a vaccine causing serious harm or death is extremely rare. Less severe reactions that may occur are pain, redness, fever, or other allergic reactions. The following people should not get the vaccine: anyone having a severe reaction to the vaccine in the past, anyone who has had a severe reaction to any vaccine, and people who are significantly sick at the time of the vaccine (it is better to wait until the patient is well). For more information see http://www.cdc.gov/vaccines"
584,Hepatitis B vaccine,"A vaccine designed to protect against the hepatitis B virus. The vaccine is recommended in all children at birth and any patient who has a high risk of acquiring the infection. The vaccine is given in 3 divided doses before the child reaches 18 months (1 dose at birth, the second dose 1-2 months later, the third dose between 6 and 18 months). The vaccine may be given at the same time as other vaccines.","The risk of a vaccine causing serious harm or death is extremely rare. Less severe reactions that may occur are pain, redness, fever, or other allergic reactions. The following people should not receive the vaccine: patients with a severe allergic reaction to yeast, previous severe reaction to the vaccine, and people who are significantly sick at the time of the vaccine (it is better to wait until the patient is well). For more information see http://www.cdc.gov/vaccines
"
585,Meningitis (meningococcal) vaccine,"A vaccine designed to protect against the bacteria Neisseria meningitidis (meningococcus). Meningococcus can cause very serious infections involving the blood or brain and spinal cord (meningitis). The vaccine is recommended in all children at the age of 11 or 12 followed by a booster shot at age 16. The following of other groups should receive the vaccine: college students living in close quarters (dormitories), U.S. military recruits, people living in parts of the world with high rates of the disease, patients with a damaged spleen, patients without a spleen, some patients with immune deficiencies, and people who have been exposed to the disease.","The risk of a vaccine causing serious harm or death is extremely rare. Less severe reactions that may occur are pain, redness, fever, or other allergic reactions. The following people should not get the vaccine: anyone having a severe reaction to the vaccine in the past, anyone who has had a severe reaction to any vaccine, and people who are significantly sick at the time of the vaccine (it is better to wait until the patient is well). For more information see http://www.cdc.gov/vaccines
"
586,Pneumococcal (pneumonia) vaccine,"A vaccine designed to protect against the bacteria Streptococcus pneumoniae (pneumococcus). Pneumococcus is one of the bacteria that can cause pneumonia. There are two types of vaccine: pneumococcal conjugate vaccine (PCV13) and pneumococcal polysaccharide vaccine (PPSV). The following patients should receive PCV13: infants and children less than 2 years old, children 2-5 years old who are not adequately vaccinated, children 6-18 years old with higher risks of infection (sickle cell disease, HIV-infection, other immune compromising diseases, cochlear implant, or cerebrospinal fluid leaks). The following patients should receive both PCV13 and PPSV: all people over 65, patients 2-64 years old with a disease that lowers their immune system, patients 19-64 years old who have asthma or smoke, and people who live in nursing homes or long term care facilities. The two vaccines should not be given at the same visit and when possible PCV13 should be given first and PPSV at a later date. ","The risk of a vaccine causing serious harm or death is extremely rare. Less severe reactions that may occur are pain, redness, fever, or other allergic reactions. The following people should not get the vaccine: anyone having a severe reaction to the vaccine in the past, anyone who has had a severe reaction to any vaccine, and people who are significantly sick at the time of the vaccine (it is better to wait until the patient is well). For more information see http://www.cdc.gov/vaccines"
587,Chicken pox (varicella) vaccine,A vaccine designed to protect against the Varicella virus. The vaccine is recommended for all children under 13 and for everyone 13 or older who has never had chickenpox. The vaccine is divided in two doses recommended to be given at 12 to 15 months and a second dose at age 4 to 6 years. ,"The risk of a vaccine causing serious harm or death is extremely rare. Less severe reactions that may occur are pain, redness, fever, or other allergic reactions. The following people should not get the vaccine: anyone having a severe reaction to the vaccine in the past, people who are significantly sick at the time of the vaccine (it is better to wait until the patient is well), and pregnant patients (they should wait until after having the baby). Any patient with a weakened immune system should contact their doctor before receiving the vaccine. For more information see http://www.cdc.gov/vaccines"
588,Tetanus vaccine (Td vaccine),"A vaccine designed to protect against tetanus infections. Tetanus vaccine can be given alone. However, it is most often given with a vaccine against diphtheria and sometimes against pertussis. The booster vaccine is recommended every 10 years starting at age 19. Individuals who have sustained puncture type wounds should also receive the booster if it has been more than 10 years since the last booster. Patients who have experienced a dirty or contaminated wound will need a booster if their last vaccine was more than 5 years ago. ","The risk of a vaccine causing serious harm or death is extremely rare. Less severe reactions that may occur are pain, redness, fever, or other allergic reactions. The following people should not get the vaccine: anyone having a severe reaction to the vaccine in the past, any child who has had a brain or nervous system disorder within 7 days after a previous vaccine, and people who are significantly sick at the time of the vaccine (it is better to wait until the patient is well). For more information see http://www.cdc.gov/vaccines"
